image,price,prod_name
https://m.media-amazon.com/images/I/71cFF3EZR-L._AC_UY218_.jpg,519,"2022 Newest Acer Aspire 5 15.6"" FHD Slim Laptop, AMD Ryzen 3 3350U(Up to 3.5GHz), 12GB RAM 512GB NVMe SSD, Backlit KB, Fingerprint Reader, Amazon Alexa, Win 11 S, 3in1 Accessories"
https://m.media-amazon.com/images/I/51JNO56DfEL._AC_UY218_.jpg,479,"HP 14 Laptop, AMD 3020e, 4 GB RAM, 64 GB eMMC Storage & 14 Laptop, AMD 3020e, 4 GB RAM, 64 GB eMMC Storage, 14-inch HD Display, Windows 10 Home in S Mode"
https://m.media-amazon.com/images/I/51fTch3DedL._AC_UY218_.jpg,480,"HP 14 Laptop, AMD 3020e, 4 GB RAM, 64 GB eMMC Storage & 14 Laptop, AMD 3020e, 4 GB RAM, 64 GB eMMC Storage, 14-inch HD Display, Windows 10 Home in S Mode, Long Battery Life"
https://m.media-amazon.com/images/I/51u079SVI+L._AC_UY218_.jpg,539,"HP 14 Laptop, Intel Celeron N4020 & 14 Laptop, Intel Celeron N4020, 4 GB RAM, 64 GB Storage, 14-inch HD Touchscreen, Windows 10 Home, Thin & Portable, 4K Graphics"
https://m.media-amazon.com/images/I/51JZlbjzYzL._AC_UY218_.jpg,539,"HP 14 Laptop, AMD 3020e, 4 GB RAM, 64 GB eMMC Storage & Nintendo Switch with Neon Blue and Neon Red Joy‑Con - HAC-001(-01)"
https://m.media-amazon.com/images/I/51VKvlWks+L._AC_UY218_.jpg,588,"HP 14 Laptop, AMD 3020e, 4 GB RAM, 64 GB eMMC Storage & Nintendo Switch – OLED Model w/ White Joy-Con"
https://m.media-amazon.com/images/I/511idJ0LfjL._AC_UY218_.jpg,598,"HP 14 Laptop, Intel Celeron N4020, 4 GB RAM, 64 GB Storage & Nintendo Switch with Neon Blue and Neon Red Joy‑Con - HAC-001(-01)"
https://m.media-amazon.com/images/I/617fteEclkL._AC_UY218_.jpg,,"2022 MSI GE76 Raider Gaming Laptop | 17.3"" 144 Hz FHD | 8-Core Intel i7-11800H | 16GB DDR4 1TB NVMe SSD | NVIDIA GeForce RTX3060 6GB | WiFi 6E | HDMI | Thunberbolt4 | Backlit | DTS | Windows 11 Pro"
https://m.media-amazon.com/images/I/91wZlmdQqTS._AC_UY218_.jpg,825,"2022 Dell Inspiron I5402 Laptop | 14"" FHD Display | 11th Gen Intel 4-Core i5-1135G7 | Iris Xe Graphics | 12GB DDR4 512GB NVMe SSD | WiFi 6 | BT5.1 | Type-C | Backlit Keyboard | Windows 11 Home"
https://m.media-amazon.com/images/I/81H2RqJfYKL._AC_UY218_.jpg,,"2022 Dell Inspiron 3000 Laptop | 15.6"" FHD Touchscreen | Intel 11th Gen 4-Core i7-1165G7 | 16GB DDR4 512GB NVMe SSD | Iris Xe Graphics | HDMI | Webcam | Card Reader | RJ-45 | Windows 10 Pro"
https://m.media-amazon.com/images/I/71MbQ6ZSRHL._AC_UY218_.jpg,,"2022 LG Gram 14Z90N 14"" FHD IPS Ultralight Business Laptop Intel 10th i5-1035G7 16GB DDR4 512GB NVMe SSD Iris Plus Graphics HDMI Backlit KB w/ FP Reader RJ-45 Windows 10 Pro w/ 32GB USB Drive"
https://m.media-amazon.com/images/I/81uR+Tf0ahL._AC_UY218_.jpg,329,"ASUS Chromebook C425 Clamshell Laptop, 14"" FHD 4-Way NanoEdge Touch Screen, Intel Core m3-8100Y Processor, 4GB RAM, 128GB eMMC Storage, Backlit KB, Silver, Chrome OS, C425TA-AS348FT"
https://m.media-amazon.com/images/I/81uR+Tf0ahL._AC_UY218_.jpg,299,"ASUS Chromebook C425 Clamshell Laptop, 14"" FHD 4-Way NanoEdge, Intel Core m3-8100Y Processor, 4GB RAM, 128GB eMMC Storage, Backlit KB, Silver, Chrome OS, C425TA-AS348F"
https://m.media-amazon.com/images/I/71OOsEBtCtL._AC_UY218_.jpg,229,"2022 Newest Samsung Chromebook 4 11.6” Laptop Computer for Business Student, Intel Celeron N4020(Up to 2.8GHz), 4GB RAM, 32GB eMMC, Webcam, WiFi, Bluetooth, USB Type-C WiFi, Chrome OS, Silver+JVQ MP"
https://m.media-amazon.com/images/I/41IFpwebT4L._AC_UY218_.jpg,799,"Lenovo ThinkPad T580 20L9004KUS 15.6"" Notebook - 1920 x 1080 - Core i7 i7-8650U - 16 GB RAM - 256 GB SSD - Graphite Black - Windows 10 Pro 64-bit - Intel UHD Graphics (Renewed)"
https://m.media-amazon.com/images/I/61dhEPQeiuL._AC_UY218_.jpg,,"2022 MSI GF75 Thin Gaming Laptop | 17.3"" FHD 144Hz | Intel 4-Core i5-10300H | NVIDIA GeForce GTX 1650TI 4GB GDDR6 | 32GB DDR4 1TB NVMe SSD | HDMI | USB-C | WiFi 6 | RJ45 | Backlit | Windows 10 Pro"
https://m.media-amazon.com/images/I/41DzXnFKvSL._AC_UY218_.jpg,,2022 HP ENVY Laptop | 13.3'' FHD IPS sRGB Display | Intel 4-Core i5-1135G7 Evo Platform | Iris Xe Graphics | 8GB DDR4 512GB NVMe SSD | WIFI 6 | BT | Webcam | USB-C | Backlit KB | FPR | Windows 11 Home
https://m.media-amazon.com/images/I/71EU5TTfxcL._AC_UY218_.jpg,,"2022 HP Omen Gaming Laptop | 17.3"" 144 Hz IPS FHD | 8-Core Intel i7-11800H | 32GB DDR4 2TB NVMe SSD | NVIDIA GeForce RTX 3060 6GB | DTS | Backlit | WIFI 6 | Thunderbolt4 | HDMI | RJ45 | Windows 11 Pro"
https://m.media-amazon.com/images/I/81tg4IwdnML._AC_UY218_.jpg,499,"2022 HP Business Laptop | 14"" HD AMD Athlon Silver 3050U | Radeon Graphics | 8GB RAM DDR4 256GB SSD | Webcam | WiFi | Bluetooth | RJ-45 | LAN | USB C | HDMI | Windows 11 Pro"
https://m.media-amazon.com/images/I/81lDOtJRTkL._AC_UY218_.jpg,999,"Acer Nitro 5 AN515-57-79TD Gaming Laptop | Intel Core i7-11800H | NVIDIA GeForce RTX 3050 Ti Laptop GPU | 15.6"" FHD 144Hz IPS Display | 8GB DDR4 | 512GB NVMe SSD | Killer Wi-Fi 6 | Backlit Keyboard"
https://m.media-amazon.com/images/I/81q1NE+PSTL._AC_UY218_.jpg,"1,149","Acer Nitro 5 AN517-54-74WT Gaming Laptop | Intel Core i7-11800H | NVIDIA GeForce RTX 3050 Ti Laptop GPU | 17.3"" FHD 144Hz IPS Display | 16GB DDR4 | 512B NVMe SSD | Killer Wi-Fi 6 | Backlit Keyboard"
https://m.media-amazon.com/images/I/71edE2j5zLL._AC_UY218_.jpg,359,"Acer Aspire 5 A515-56-32DK Slim Laptop | 15.6"" Full HD IPS Display | 11th Gen Intel Core i3-1115G4 Processor | 4GB DDR4 | 128GB NVMe SSD | WiFi 6 | Windows 11 Home in S Mode"
https://m.media-amazon.com/images/I/71gk1oNNWqL._AC_UY218_.jpg,"2,999","Acer Predator Triton 500 SE Gaming/Creator Laptop | 12th Gen Intel i9-12900H | GeForce RTX 3080 Ti | 16"" WQXGA 240Hz G-SYNC Display | 32GB LPDDR5 | 1TB Gen 4x4 SSD | Killer Wi-Fi 6E | PT516-52s-99EL"
https://m.media-amazon.com/images/I/51zBO27qAIL._AC_UY218_.jpg,949,"Newest Acer Aspire 5 Laptop -14"" FHD IPS - 11th Intel i5-1135G7 - Iris Xe Graphics - 36GB DDR4 - 1TB SSD - Fingerprint - WiFi 6 - Backlit Keyboard - Numpad - RJ-45 - Windows 10 Home w/ 32GB USB"
https://m.media-amazon.com/images/I/71Ol6LUuj4L._AC_UY218_.jpg,,"2022 Acer AN515 Nitro 5 Gaming Laptop 15.6"" FHD 144 Hz IPS 6-Core 10th Intel Core i7-10750H NVIDIA RTX 3060 6GB GDDR6 24GB DDR4 1TB NVMe SSD Wi-Fi 6 RGB Backlit Keyboard Windows 11 w/ 32GB USB"
https://m.media-amazon.com/images/I/71gFnjFTzPS._AC_UY218_.jpg,"2,099","Latest Lenovo ThinkPad X1 Nano Ultra-Slim Laptop, Intel i7-1160G7, 13.0"" 2K (2160 x 1350) IPS, Anti-Glare, 450 nits, 16 GB RAM, 512 GB SSD, Weigh 1.99 lbs, 3 Year Premier Warranty, Win 11 Pro - Black"
https://m.media-amazon.com/images/I/41kfth-rpqL._AC_UY218_.jpg,,"2022 HP 14-inch Diagonal HD Laptop PC, Intel Celeron N4120 Processor, Intel UHD Graphics 600, 4GB RAM, 64GB eMMC, 802.11ac, Bluetooth, HDMI, Windows 11 Home, W/ Silmarils Accessories (Indigo Blue)"
https://m.media-amazon.com/images/I/41RKF+W7miL._AC_UY218_.jpg,569,"Lenovo 15 Laptop, 11th Generation Intel Core i5-1135G7, 12 GB RAM, 256GB SSD, 15.6-inch Full HD Touch Screen Display, Windows 10, 802.11ac, Bluetooth, HDMI, Arctic Grey, W/ Silmarils Accessories"
https://m.media-amazon.com/images/I/41znXb2JKFL._AC_UY218_.jpg,139,"HP 11.6-inch HD Display Chromebook, Intel Celeron N3350, 4 GB DDR4 RAM, 32 GB eMMC, Bluetooth, Wi-Fi, Webcam, Chrome OS, Ash Gray, HP 11 Laptop, W/ MD Accessories"
https://m.media-amazon.com/images/I/51iZBe9w3+L._AC_UY218_.jpg,"1,119","2022 Dell Inspiron 3000 Laptop | 15.6"" FHD Touchscreen | 11th Gen Intel 4-Core i7-1165G7 | Iris Xe Graphics | 24GB DDR4 1TB NVMe SSD | HDMI | BT | WiFi AC | Webcam | Windows 11 Pro"
https://m.media-amazon.com/images/I/61vGJBvajBL._AC_UY218_.jpg,,"2022 DELL Inspiron 7000 2-in-1 Laptop | 14"" FHD IPS Touchscreen | 8-Core AMD Ryzen 7 4700U | AMD Radeon Graphics | 16GB RAM DDR4 512GB NVMe SSD | HDMI | USB-C | WiFi 6 | Backlit FPR | Windows 11 Pro"
https://m.media-amazon.com/images/I/61CTnaRmY6L._AC_UY218_.jpg,,"2022 Dell Inspiron 15 5000 Laptop | 15.6"" FHD Non-Touch Display | AMD 8-Core Ryzen 7 4700U | 20GB DDR4 512GB NVMe SSD | USB-C | WiFi 6 | BT | Webcam | Backlit KB | Fingerprint | Windows 10 Pro"
https://m.media-amazon.com/images/I/41MZMffT9KL._AC_UY218_.jpg,,"2022 Dell Inspiron I3511 Laptop | 15.6"" FHD Display | 4-Core Intel i5-1035G1 | 12GB DDR4 RAM 512GB M.2 NVMe SSD | Intel UHD Graphics | HDMI | Webcam | BT | WiFi AC | Card Reader | Windows 11 Pro"
https://m.media-amazon.com/images/I/71ZxFLhj6ES._AC_UY218_.jpg,,"2022 Lenovo ThinkBook 13s Gen2 Laptop | 13.3"" WQXGA IPS 300 nits | Intel 4-Core i7-1165G7 | 16GB LPDDR4 1TB NVMe SSD | Iris Xe Graphics | HDMI | Backlit KB | WiFi 6 | Thunderbolt | Windows 10 Pro"
https://m.media-amazon.com/images/I/71ZxFLhj6ES._AC_UY218_.jpg,,"2022 Lenovo ThinkBook 13s Gen2 Laptop | 13.3"" WQXGA IPS 300 nits | Intel 4-Core i7-1165G7 | 16GB LPDDR4 1TB NVMe SSD | Iris Xe Graphics | HDMI | Backlit KB | WiFi 6 | Thunderbolt | Windows 11 Pro"
https://m.media-amazon.com/images/I/71ZxFLhj6ES._AC_UY218_.jpg,,"2022 Lenovo ThinkBook 13s Gen2 Laptop | 13.3"" WQXGA IPS 300 nits | Intel 4-Core i7-1165G7 | 16GB LPDDR4 512GB NVMe SSD | Iris Xe Graphics | HDMI | Backlit KB | WiFi 6 | Thunderbolt | Windows 11 Pro"
https://m.media-amazon.com/images/I/71ZxFLhj6ES._AC_UY218_.jpg,949,"2022 Lenovo ThinkBook 13s Gen2 Laptop | 13.3"" WQXGA IPS 300 nits | Intel 4-Core i7-1165G7 | 16GB LPDDR4 512GB NVMe SSD | Iris Xe Graphics | HDMI | Backlit KB | WiFi 6 | Thunderbolt | Windows 10 Pro"
https://m.media-amazon.com/images/I/71sKmm1swNL._AC_UY218_.jpg,"2,099","2022 Sager NP8872N Gaming Laptop, 17.3 Inch QHD 165Hz 100% DCI-P3, Intel i7-12700H, RTX 3070 Ti, 32GB RAM, 1TB Gen4 NVMe SSD, TBT 4, Win 11"
https://m.media-amazon.com/images/I/71lBfSJZi1L._AC_UY218_.jpg,,"2022 Acer Nitro AN515 15.6"" 144Hz FHD IPS Gaming Laptop Intel 6-core i7-10750H 32GB RAM DDR4 2TB(1TBx2) NVMe SSD NVIDIA RTX 3060 6GB GDDR6 Killer WiFi AX RJ-45 Backlit Windows 11 w/ RE USB Drive"
https://m.media-amazon.com/images/I/51hlLNFAQ9L._AC_UY218_.jpg,555,"HP 17-cp0000 17-cp0035cl 17.3"" Touchscreen Notebook, AMD Ryzen 5500U, Windows 11 Home, 12GB RAM, 1 TB HDD, Natural Silver (50U26UAR#ABA) (Renewed)"
https://m.media-amazon.com/images/I/713a69G8aAL._AC_UY218_.jpg,"1,189","Newest Lenovo ThinkPad E15 Gen 2 Business Laptop, 15.6"" Full HD Touchscreen, Intel Core i5-1135G7 Processor, 32GB DDR4 RAM, 1TB SSD, Wi-Fi 6, Bluetooth, USB Type-C, Webcam, Windows 11 Pro, Black"
https://m.media-amazon.com/images/I/71E1bLcJAgL._AC_UY218_.jpg,"2,199","GIGABYTE AERO 5 XE4 - 16"" 4K/UHD Samsung AMOLED, Intel Core i7-12700H, NVIDIA GeForce RTX 3070 Ti Laptop GPU 8GB GDDR6, 16GB DDR4 RAM, 1TB SSD, Win11 Home Laptop (AERO 5 XE4-73US614SH)"
https://m.media-amazon.com/images/I/31QzPIr9SWL._AC_UY218_.jpg,999,"HP EliteBook x360 1030 G4 Laptop, Intel Core i7-8665U, 16GB RAM, 512GB SSD (6MJ79AV) (Renewed)"
https://m.media-amazon.com/images/I/41RQ--f6u+L._AC_UY218_.jpg,999,"HP Chromebook 11A G6 EE Laptop, AMD A4-9120C GPU, Chrome OS, 4GB RAM, 16GB eMMC SSD (6KJ19UT#ABA) (Renewed)"
https://m.media-amazon.com/images/I/718Fiu0ociL._AC_UY218_.jpg,"2,699","GIGABYTE AERO 16 XE5 - 16"" 4K/UHD+ Samsung AMOLED, Intel Core i7-12700H, NVIDIA GeForce RTX 3070 Ti Laptop GPU 8GB GDDR6, 32GB DDR5 RAM, 2TB SSD,Win11 Pro Laptop (AERO 16 XE5-73US948HP)"
https://m.media-amazon.com/images/I/41WN97wqEHL._AC_UY218_.jpg,,"2022 Lenovo IdeaPad 7i Laptop | 14"" FHD IPS Touchscreen | 4-Core Intel EVO Platform i5-1135G7 | Iris Xe Graphics | 8GB DDR4 512GB NVMe SSD | HDMI | WiFi 6 | USB-C | Backlit KB | FPR | Windows 10 Home"
https://m.media-amazon.com/images/I/61MypxZdvoL._AC_UY218_.jpg,949,"2022 Lenovo IdeaPad 3 Laptop | 15.6"" FHD IPS Touchscreen | Intel i5-1135G7 | 36GB RAM DDR4 1TB NVMe SSD | Iris Xe Graphics | HDMI | USB-C | WiFi 6 | BT | Backlit KB | FPR | Webcam | Windows 10 Home"
https://m.media-amazon.com/images/I/717Tt6+5LTL._AC_UY218_.jpg,899,"2022 Lenovo IdeaPad 3 Laptop | 17.3"" HD+ Display | Intel 10th Gen 4-Core i5-1035G1 | 20GB RAM DDR4 512GB M.2 NVMe SSD | Intel UHD Graphics | HDMI | WiFi 6 | Bluetooth | Webcam | Grey | Windows 11 Pro"
https://m.media-amazon.com/images/I/71BgHb5w-HL._AC_UY218_.jpg,689,"2022 ASUS Zenbook 14 Thin Business Laptop, 14"" FHD IPS Display, AMD 6 Cores Ryzen 5 5500U (＞i7-10510U), NVIDIA GeForce MX450, 8GB RAM 512GB SSD,Backlit Keyboard, USB-C,Webcam, Grey + 3in1 Accessories"
